VSG_ID,Pass_No,Lat_lower,Lat_Upper,Long_left,Long_right
1,1,12.516,12.526,104.477,104.481
2,205,16.2,16.227,94.57,94.581
3,205,16.28,16.301,94.601,94.61
4,205,16.335,16.342,94.623,94.626
5,205,16.473,16.491,94.678,94.685
6,205,18.222,18.229,95.385,95.387
7,27,16.503,16.511,97.523,97.527
8,242,21.907,21.915,95.815,95.813
9,64,25.091,25.097,97.224,97.221
10,77,9.542,9.554,106.197,106.202
11,77,9.624,9.639,106.228,106.234
12,77,9.987,9.996,106.362,106.366
13,77,10.103,10.11,106.406,106.408
14,77,15.477,15.488,108.456,108.461
15,140,10.208,10.221,106.15,106.146
